rank|song_id|song_title|artist_name|artist_id|album_id|album_title|album_img
1|1890405|가지마 가지마|브라운 아이즈|100742|386400|Two Things Needed For The Same Purpose And 5 Objets|https://cdnimg.melon.co.kr/cm/album/images/003/86/400/386400_500.jpg/melon/resize/48/quality/80/optimize
2|1874397|So Hot|원더걸스|217764|381932|So Hot|https://cdnimg.melon.co.kr/cm/album/images/003/81/932/381932_500.jpg/melon/resize/48/quality/80/optimize
3|1874996|나만 바라봐|태양|247621|382070|Hot|https://cdnimg.melon.co.kr/cm/album/images/003/82/070/382070_500.jpg/melon/resize/48/quality/80/optimize
4|1879332|Blue Moon|씨야~다비치~블랙펄|181679~236815~227655|382419|Color Pink|https://cdnimg.melon.co.kr/cm/album/images/003/82/419/382419_500.jpg/melon/resize/48/quality/80/optimize
5|1871159|Too Much (With 서인영) (우리결혼했어요 화제곡)|크라운제이 (CROWN J)|182206|380143|Too Much (Digital Single)|https://cdnimg.melon.co.kr/cm/album/images/003/80/143/380143_500.jpg/melon/resize/48/quality/80/optimize
6|1888678|에너지 (Feat. 선예)|마이티 마우스|239366|385653|Energy|https://cdnimg.melon.co.kr/cm/album/images/003/85/653/385653_500.jpg/melon/resize/48/quality/80/optimize
7|1867568|Beautiful Life|V.O.S|108794|379407|Wonderful Things|https://cdnimg.melon.co.kr/cm/album/images/003/79/407/379407_500.jpg/melon/resize/48/quality/80/optimize
8|1875215|누난 너무 예뻐 (Replay)|SHINee (샤이니)|247639|382083|누난 너무 예뻐 (Replay)|https://cdnimg.melon.co.kr/cm/album/images/003/82/083/382083_500.jpg/melon/resize/48/quality/80/optimize
9|1851229|서커스 (Feat. 임유경 - 달래 음악단 , ＄howgun)|MC몽|11538|376194|Show's Just Begun|https://cdnimg.melon.co.kr/cm/album/images/003/76/194/376194_500.jpg/melon/resize/48/quality/80/optimize
10|1884329|안녕 나의 사랑|성시경|3305|382892|여기, 내 맘속에...|https://cdnimg.melon.co.kr/cm/album/images/003/82/892/382892_500.jpg/melon/resize/48/quality/80/optimize
11|1854856|라라라|SG 워너비|108363|376502|My Friend|https://cdnimg.melon.co.kr/cm/album/images/003/76/502/376502_500.jpg/melon/resize/48/quality/80/optimize
12|1890408|너 때문에|브라운 아이즈|100742|386400|Two Things Needed For The Same Purpose And 5 Objets|https://cdnimg.melon.co.kr/cm/album/images/003/86/400/386400_500.jpg/melon/resize/48/quality/80/optimize
13|1850242|One (Feat. 지선)|에픽하이 (EPIK HIGH)|108356|376100|Pieces, Part One|https://cdnimg.melon.co.kr/cm/album/images/003/76/100/376100_500.jpg/melon/resize/48/quality/80/optimize
14|1857967|모두 다 쉿!|쥬얼리|101487|377200|Kitchi Island 2|https://cdnimg.melon.co.kr/cm/album/images/003/77/200/377200_500.jpg/melon/resize/48/quality/80/optimize
15|1861639|화분 (알렉스 Ver.) (우리결혼했어요 삽입곡)|알렉스|51146|378543|화분|https://cdnimg.melon.co.kr/cm/album/images/003/78/543/378543_500.jpg/melon/resize/48/quality/80/optimize
16|1884797|Honey|옥주현|1714|383155|Remind|https://cdnimg.melon.co.kr/cm/album/images/003/83/155/383155_500.jpg/melon/resize/48/quality/80/optimize
17|1868095|Lie|가비엔제이|174997|379436|The Beginning|https://cdnimg.melon.co.kr/cm/album/images/003/79/436/379436_500.jpg/melon/resize/48/quality/80/optimize
18|1841034|가슴으로 외쳐 (Rap Feat. Rhymer)|먼데이 키즈 (Monday Kiz)|175155|374973|Inside Story|https://cdnimg.melon.co.kr/cm/album/images/003/74/973/374973_500.jpg/melon/resize/48/quality/80/optimize
19|1850253|우산 (Feat. 윤하)|에픽하이 (EPIK HIGH)|108356|376100|Pieces, Part One|https://cdnimg.melon.co.kr/cm/album/images/003/76/100/376100_500.jpg/melon/resize/48/quality/80/optimize
20|1841036|발자국|먼데이 키즈 (Monday Kiz)|175155|374973|Inside Story|https://cdnimg.melon.co.kr/cm/album/images/003/74/973/374973_500.jpg/melon/resize/48/quality/80/optimize
21|1895778|나만 바라봐 (Part 2)|G-DRAGON|6984|387459|나만 바라봐 Part.2|https://cdnimg.melon.co.kr/cm/album/images/003/87/459/387459_500.jpg/melon/resize/48/quality/80/optimize
22|1851232|죽도록 사랑해 (Feat. 박정현)|MC몽|11538|376194|Show's Just Begun|https://cdnimg.melon.co.kr/cm/album/images/003/76/194/376194_500.jpg/melon/resize/48/quality/80/optimize
23|1857969|못된 여자 (Feat. 서인영)|원투|106928|377201|2008 One Two (Digital Single)|https://cdnimg.melon.co.kr/cm/album/images/003/77/201/377201_500.jpg/melon/resize/48/quality/80/optimize
24|1885180|그대라면|알렉스|51146|383555|My Vintage Romance|https://cdnimg.melon.co.kr/cm/album/images/003/83/555/383555_500.jpg/melon/resize/48/quality/80/optimize
25|1874398|This Time|원더걸스|217764|381932|So Hot|https://cdnimg.melon.co.kr/cm/album/images/003/81/932/381932_500.jpg/melon/resize/48/quality/80/optimize
26|1883639|No.3 (Feat. Sol Flower)|배치기|101886|382829|Out Of Control|https://cdnimg.melon.co.kr/cm/album/images/003/82/829/382829_500.jpg/melon/resize/48/quality/80/optimize
27|1815605|그대만이 (MBC '우리 결혼했어요' 알렉스&신애 테마곡)|김종욱|4388|370357|For A Long Time..|https://cdnimg.melon.co.kr/cm/album/images/003/70/357/370357_500.jpg/melon/resize/48/quality/80/optimize
28|1891591|6년동안|별|27033|386482|Like A Star (Showcase)|https://cdnimg.melon.co.kr/cm/album/images/003/86/482/386482_500.jpg/melon/resize/48/quality/80/optimize
29|1885992|사랑해요|이수 (엠씨더맥스)|214784|384260|M.C The Max 이수 ‘사랑해요’|https://cdnimg.melon.co.kr/cm/album/images/003/84/260/384260_500.jpg/melon/resize/48/quality/80/optimize
30|1836107|추억속의 그대|이승기|58793|374552|남자가 여자를 사랑할 때 Vol.2|https://cdnimg.melon.co.kr/cm/album/images/003/74/552/374552_500.jpg/melon/resize/48/quality/80/optimize
31|1890404|Your Eyes|브라운 아이즈|100742|386400|Two Things Needed For The Same Purpose And 5 Objets|https://cdnimg.melon.co.kr/cm/album/images/003/86/400/386400_500.jpg/melon/resize/48/quality/80/optimize
32|1884223|화신 (花信)|박효신|1191|382883|일지매 OST|https://cdnimg.melon.co.kr/cm/album/images/003/82/883/382883_500.jpg/melon/resize/48/quality/80/optimize
33|1890407|이순간 이대로|브라운 아이즈|100742|386400|Two Things Needed For The Same Purpose And 5 Objets|https://cdnimg.melon.co.kr/cm/album/images/003/86/400/386400_500.jpg/melon/resize/48/quality/80/optimize
34|1797709|아이처럼|김동률|925|366933|Monologue|https://cdnimg.melon.co.kr/cm/album/images/003/66/933/366933_500.jpg/melon/resize/48/quality/80/optimize
35|1871543|그대만 보며|이정|39256|381172|그대만 보며 (KBS 일일시트콤 '못말리는 결혼' 삽입곡)|https://cdnimg.melon.co.kr/cm/album/images/003/81/172/381172_500.jpg/melon/resize/48/quality/80/optimize
36|1833966|기억을 걷는 시간|넬 (NELL)|101094|374383|Separation Anxiety|https://cdnimg.melon.co.kr/cm/album/images/003/74/383/374383_500.jpg/melon/resize/48/quality/80/optimize
37|1857971|Bad Boy|손담비|226582|377202|Mini Album Vol. 1|https://cdnimg.melon.co.kr/cm/album/images/003/77/202/377202_500.jpg/melon/resize/48/quality/80/optimize
38|1846941|바보에게... 바보가|박명수|4263|375797|바보에게... 바보가 (Digital Single)|https://cdnimg.melon.co.kr/cm/album/images/003/75/797/375797_500.jpg/melon/resize/48/quality/80/optimize
39|1897284|D.I.S.C.O (Feat. TOP)|엄정화|1100|388658|D.I.S.C.O|https://cdnimg.melon.co.kr/cm/album/images/003/88/658/388658_500.jpg/melon/resize/48/quality/80/optimize
40|1826467|미안해요 (Feat. T.O.P)|거미|30358|372909|Comfort|https://cdnimg.melon.co.kr/cm/album/images/003/72/909/372909_500.jpg/melon/resize/48/quality/80/optimize
41|1807098|One More Time|쥬얼리|101487|368317|5집 Kitchi Island|https://cdnimg.melon.co.kr/cm/album/images/003/68/317/368317_500.jpg/melon/resize/48/quality/80/optimize
42|1849804|취중진담 (Feat. AND)|플라이 투 더 스카이|100183|376069|Recollection|https://cdnimg.melon.co.kr/cm/album/images/003/76/069/376069_500.jpg/melon/resize/48/quality/80/optimize
43|1858074|I Love You (Feat. 신디)|란 (RAN)|236880|377216|I Love You|https://cdnimg.melon.co.kr/cm/album/images/003/77/216/377216_500.jpg/melon/resize/48/quality/80/optimize
44|1798752|슬픈 다짐|다비치|236815|367137|AMARANTH|https://cdnimg.melon.co.kr/cm/album/images/003/67/137/367137_500.jpg/melon/resize/48/quality/80/optimize
45|1816224|사랑해 (Feat. 윤은혜)|마이티 마우스|239366|370758|사랑해 (Feat. 윤은혜) (Digital Single)|https://cdnimg.melon.co.kr/cm/album/images/003/70/758/370758_500.jpg/melon/resize/48/quality/80/optimize
46|1888933|날 봐, 귀순|대성|251080|385859|날 봐, 귀순 (Digital Single)|https://cdnimg.melon.co.kr/cm/album/images/003/85/859/385859_500.jpg/melon/resize/48/quality/80/optimize
47|1877453|Baby Bye Bye (베이비 바이 바이)|윤미래|1654|382300|랩소디 Part 2|https://cdnimg.melon.co.kr/cm/album/images/003/82/300/382300_500.jpg/melon/resize/48/quality/80/optimize
48|1867868|Ready To L.O.V.E|제아~미료|230519~6272|379422|The Love Part.2|https://cdnimg.melon.co.kr/cm/album/images/003/79/422/379422_500.jpg/melon/resize/48/quality/80/optimize
49|1825248|너만 볼래 (Feat. 태인)|나몰라패밀리 (Namolla Family)|194009|372860|너만 볼래|https://cdnimg.melon.co.kr/cm/album/images/003/72/860/372860_500.jpg/melon/resize/48/quality/80/optimize
50|1862870|햅틱모션 (Haptic Motion)|소녀시대 (GIRLS' GENERATION)|228069|378644|햅틱모션 (Haptic Motion)|https://cdnimg.melon.co.kr/cm/album/images/003/78/644/378644_500.jpg/melon/resize/48/quality/80/optimize
